COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
302-2		b ɜ n̪ d					
237-2		l̪ tɕʰ o					
205-2		b ɜ n̪ d					
1089-2		s̪ ɜ r̪ p ɜ					
804-2		t̪ʰ ɜ l d u					
1263-2		b ɜ n̪ d					
286-2		ɾ d ɜ p s̪					
717-2		s̪ ɛ n̪ m ɜ					
269-2		h ɜ n̪ d o					
1512-2		l̪ tɕʰ o					
555-2		h ɜ f t̪ ɑ					
751-2		ɑ ɕ e					
439-2		g o					
601-2		ɕ i s̪					
320-2		h ɜ n̪ d o					
1106-2		pʰ u					
693-2		h ɜ n̪ d o					
221-2		s̪ t̪ r̪ ɜ ŋ					
1199-2		t̪ʰ ɜ l d u					
1424-2		s̪ u r̪ ʊ p					
904-2		m o					
1273-2		s̪ ɛ n̪ m ɜ					
1323-2		s̪ ɜ r̪ p ɜ					
1127-2		h ɜ f t̪ ɑ					
1529-2		pʰ u					
1175-2		g o b i					
383-2		m e β̞ ɑ					
820-2		l̪ tɕʰ o					
1636-2		ɸ tɕ u					
1331-2		g o b i					
1097-2		l dð ɑ					
1223-2		ɑ ŋ ɑ					
592-2		l dð ɑ					
1290-2		l̪ tɕʰ o					
669-2		s̪ õ s̪					
1472-2		s̪ õ s̪					
788-2		s̪ õ s̪					
1191-2		ɾ d ɜ p s̪					
626-2		ʑ ɪ n̪ d o					
844-2		ŋ ɑ					
879-2		ɣ ɑ					
1151-2		b ɜ n̪ d					
1119-2		j ɑ ŋ					
365-2		s̪ ɛ n̪ m ɜ					
1480-2		j ɑ ŋ					
653-2		z̪ ɛ r̪ m õ ŋ					
1081-2		kʰ o ŋ					
1448-2		p ɑ j u					
1029-2		l dð ɑ					
863-2		ɕ i p ɑ					
539-2		ɕ i s̪					
610-2		ɣ ɑ					
350-2		ɑ ŋ o					
871-2		õ s̪					
734-2		ɾ ɑ l					
431-2		kʰ i					
1298-2		h ɜ n̪ d o					
929-2		h ɜ n̪ d					
1315-2		t̪ʰ õ s̪					
964-2		ʑ ɪ n̪ d o					
836-2		l dð ɑ					
1644-2		b gʲ u k s̪					
547-2		ɑ ŋ o					
1048-2		t̪ʰ õ s̪					
1692-2		ʈʂ o					
1306-2		pʰ u					
405-2		l̪ tɕʰ o					
294-2		pʰ r̪ u					
661-2		l̪ tɕʰ o					
413-2		h ɜ n̪ d o					
996-2		h ɜ n̪ d					
1012-2		gʲ o x p ɑ					
181-2		pʰ u ɾ s̪					
1660-2		g o b i					
1440-2		d̪ r̪ u ŋ					
1652-2		m o					
1037-2		s̪ ɜ r̪ p ɜ					
677-2		h ɜ n̪ d o					
1561-2		ɕ i d ɜ ŋ					
447-2		s̪ ɜ r̪ p ɜ					
828-2		ɪ ɕ ɪ n̪					
1247-2		tɕ ɜ t̪ s̪					
391-2		h ɜ n̪ d o					
972-2		ȵ i m ɑ					
531-2		t̪ʰ ɜ l d u					
253-2		l̪ tɕʰ o					
1282-2		pʰ u ɾ s̪					
812-2		j ɑ ŋ					
245-2		pʰ u ɾ s̪					
1609-2		t̪ʰ ɜ l d u					
261-2		ʑ ɪ n̪ d o					
1143-2		m e β̞ ɑ					
1065-2		l̪ tɕʰ o					
1504-2		ɕ i s̪					
1432-2		s̪ u r̪ ʊ p					
634-2		b i n̪ s̪					
1255-2		l̪ tɕʰ o					
488-2		g o b i					
1004-2		g o					
506-2		b d u n̪					
1488-2		tɕ ɜ t̪ s̪					
1496-2		ȵ i m ɑ					
1073-2		b d u n̪					
1617-2		s̪ õ s̪					
1569-2		ɖʐ i					
1593-2		g o					
1585-2		l dð ɑ					
759-2		ɑ ɕ e					
1415-2		d̪ o					
1215-2		t̪ʰ õ s̪					
422-2		m o					
310-2		h ɜ n̪ d o q					
189-2		g o ŋ					
25-2		z̪ ɛ ɾ s̪					
9-2		l̪ tɕʰ o					
57-2		t̪ʰ õ s̪					
17-2		s̪ õ s̪					
709-3			g o				
522-3			t̪ʰ ɜ l ŋ				
514-3			m ɪ n̪ s̪				
464-3			s̪ ɛ n̪				
1020-3			x s̪ ʊ r̪ u p				
1355-3			s̪ o				
1464-3			pʰ u ɾ s̪				
302-3			b ɜ n̪ d				
237-3			l̪ ʈ ɜ n̪ d				
205-3			b ɜ n̪ d				
1089-3			m e β̞ ɑ				
804-3			k ɜ ɽ ɜ m				
1263-3			b ɜ n̪ d				
286-3			ʊ ɾ g ɜ p				
717-3			s̪ ɛ n̪				
269-3			kʰ ɜ p				
1512-3			l̪ tɕʰ o				
555-3			b ɜ n̪ d				
751-3			ɾ ɑ ŋ				
439-3			k o s̪				
601-3			ɕ ɜ d i				
320-3			h ɜ f ɜ m				
1106-3			pʰ r̪ u				
693-3			h ɜ f t̪ ɑ				
221-3			s̪ t̪ r̪ i ŋ				
1199-3			t̪ʰ ɜ l b ɜ				
1424-3			x s̪ ʊ r̪ u p				
904-3			m o				
1273-3			s̪ ɛ n̪				
1323-3			s̪ t̪ r̪ i ŋ				
1127-3			h ɜ n̪ d o				
1529-3			pʰ r̪ u				
1175-3			ʊ ɾ g o				
383-3			m e β̞ ɑ				
820-3			l̪ tɕʰ o				
1636-3			pʰ r̪ u				
1331-3			ʊ ɾ g o				
1097-3			l dð ɑ				
1223-3			kʰʲ ɜ ŋ				
592-3			l dð ɑ				
1290-3			β gʲ ʊ k s̪				
669-3			z̪ ɛ ɾ s̪				
1472-3			s̪ o ŋ				
788-3			l dð ɑ				
1191-3			ɾ d ɜ p				
626-3			m ɪ n̪ s̪				
844-3			ɣ ɑ				
879-3			ɣ ɑ				
1151-3			b ɜ n̪ m o				
1119-3			l dð ɑ				
365-3			x s̪ ʊ r̪ u p				
1480-3			pʰ r̪ u				
653-3			k ɜ ɽ ɜ m				
1081-3			tθʰ o ŋ				
1448-3			p ɑ j ɑ				
1029-3			l dð ɑ				
863-3			ɕ ɜ p ɑ				
539-3			tθʰ o q				
610-3			ɣ ɑ				
350-3			kʰʲ ɜ ŋ				
871-3			kʰ ɜ ŋ				
734-3			ɾ ɑ l				
431-3			kʰ ɑ				
1298-3			h ɜ n̪ d o				
929-3			kʰʲ ɜ ŋ				
1315-3			h ɜ f s̪				
964-3			m ɪ n̪ s̪				
836-3			l dð ɑ				
1644-3			β gʲ ʊ k s̪				
547-3			ɜ m o				
1048-3			k ɜ ɽ ɜ m				
1692-3			l̪ tɕʰ o				
1306-3			pʰ r̪ u				
405-3			h ɜ f t̪ ɑ				
294-3			pʰ r̪ u				
661-3			h ɜ f t̪ ɑ				
413-3			ɾ ɜ p ɽ ɑ				
996-3			kʰʲ ɜ p				
1012-3			t̪ r̪ ɜ ŋ				
181-3			pʰ u ɾ s̪				
1660-3			β gʲ ʊ k s̪				
1440-3			d̪ r̪ u p				
1652-3			m o				
1037-3			s̪ t̪ r̪ i ŋ				
677-3			h ɜ f t̪ ɑ				
1561-3			ɕ ɜ d i				
447-3			s̪ t̪ r̪ i ŋ				
828-3			ɾ d ɜ p				
1247-3			tɕ ɑ ŋ				
391-3			h ɜ f t̪ ɑ				
972-3			ȵ i m ɑ				
531-3			t̪ʰ ɜ l d i				
253-3			l̪ tɕʰ o				
1282-3			β gʲ ʊ k s̪				
812-3			j ɑ ŋ				
245-3			pʰ u ɾ s̪				
1609-3			k ɜ ɽ o				
261-3			m e β̞ ɑ				
1143-3			m e β̞ ɑ				
1065-3			l̪ tɕʰ o				
1504-3			ɕ i s̪				
1432-3			m e β̞ ɑ				
634-3			ȵ i m ɑ				
1255-3			β gʲ ʊ k s̪				
488-3			β gʲ ʊ k s̪				
1004-3			ʊ ɾ g o				
506-3			β gʲ ʊ k s̪				
1488-3			tɕ ɜ t̪ s̪				
1496-3			ȵ i m ɑ				
1073-3			b ɜ n̪ d				
1617-3			ɾ ɑ l				
1569-3			pʰ r̪ u				
1593-3			ɣ ɑ				
1585-3			l dð ɑ				
759-3			ɣ ɑ				
1415-3			kʰ o ŋ				
1215-3			h ɜ s̪ k e				
422-3			m o				
310-3			h ɜ n̪ d o q				
189-3			ɣ r̪ ɜ ŋ				
25-3			z̪ ɛ ɾ s̪				
9-3			l̪ ʈ ɜ t̪ s̪				
57-3			t̪ʰ o ŋ s̪				
17-3			s̪ o ŋ				
709-4				t̪ o			
522-4				t̪ʰ o ŋ			
514-4				m e β̞ ɑ			
464-4				õ s̪			
1020-4				s̪ u r̪ ʊ p			
1355-4				s̪ o ŋ			
1464-4				l̪ tɕʰ o			
302-4				b i ɜ p			
237-4				l̪ tɕʰ o			
205-4				p ɜ r̪ ɜ ŋ			
1089-4				m e β̞ ɑ			
804-4				k ɜ ɽ ɜ m			
1263-4				p t̪ r̪ ɜ ŋ			
286-4				β d u n̪			
717-4				s̪ u r̪ ʊ ŋ			
269-4				kʰ ɜ p			
1512-4				l̪ tɕʰ o			
555-4				h ɜ f t̪ ɜ			
751-4				m e			
439-4				k o s̪			
601-4				ɕ i s̪			
320-4				h ɜ f t̪ ɜ			
1106-4				d̪ʲ u			
693-4				h ɜ f t̪ ɜ			
221-4				s̪ o ŋ			
1199-4				t̪ʰ ɜ l d u			
1424-4				s̪ u r̪ ʊ p			
904-4				m o			
1273-4				s̪ o ŋ			
1323-4				s̪ ɜ r̪ ɸ ɑ			
1127-4				h ɜ f t̪ ɜ			
1529-4				pʰ u ɾ			
1175-4				ɾ g o			
383-4				õ s̪			
820-4				l̪ tɕʰ o			
1636-4				p ɑ j u			
1331-4				ɾ g o			
1097-4				l ɑ l			
1223-4				ɑ ŋ o			
592-4				l dð ɑ			
1290-4				d̪ r̪ u l s̪			
669-4				õ s̪			
1472-4				s̪ o ŋ			
788-4				l dð ɑ			
1191-4				ɾ ɜ b ɜ q			
626-4				m i n̪ s̪			
844-4				ɣ ɑ			
879-4				ɣ ɑ			
1151-4				b i ɜ p			
1119-4				p ɑ j u			
365-4				s̪ ɛ n̪ m o			
1480-4				j ɑ ŋ			
653-4				z̪ ɛ r̪ m o			
1081-4				tθʰ o			
1448-4				p ɑ j u			
1029-4				l dð ɑ			
863-4				ɕ i s̪			
539-4				ɑ ɕ e			
610-4				ɣ ɑ			
350-4				ɑ ŋ o			
871-4				kʰ o ŋ			
734-4				ɾ ɑ l			
431-4				kʰ i			
1298-4				ʈʂ ɪ m o k			
929-4				ɑ ŋ o			
1315-4				t̪ r̪ ɜ k s̪			
964-4				dʑ i n̪ d o			
836-4				xʲ u n̪			
1644-4				b gʲ u k s̪			
547-4				ɑ ŋ o			
1048-4				k ɜ ɽ ɜ			
1692-4				l̪ tɕʰ o			
1306-4				d̪ʲ u			
405-4				t̪ r̪ ɜ ŋ			
294-4				d̪ʲ u			
661-4				t̪ r̪ ɜ ŋ			
413-4				h ɜ f t̪ ɜ			
996-4				h ɜ n̪ q			
1012-4				t̪ r̪ ɜ ŋ			
181-4				pʰ u ɾ s̪			
1660-4				β d u n̪			
1440-4				d̪ r̪ u l s̪			
1652-4				m o			
1037-4				s̪ ɜ r̪ ɸ ɑ			
677-4				h ɜ f t̪ ɜ			
1561-4				ɕ i p ɜ			
447-4				s̪ o ŋ			
828-4				ɾ ɑ l			
1247-4				tɕʲ ɑ ŋ			
391-4				d̪ ɜ x p o			
972-4				ȵ i m ɑ			
531-4				t̪ʰ ɜ l tɕ ɪ t̪			
253-4				d̪ o			
1282-4				pʰ u ɾ s̪			
812-4				j ɑ ŋ			
245-4				d̪ u k s̪			
1609-4				k ɜ ɽ ɜ m			
261-4				m e β̞ ɑ			
1143-4				m e β̞ ɑ			
1065-4				pʰ u ɾ s̪			
1504-4				ɕ i s̪			
1432-4				s̪ u r̪ ʊ p			
634-4				pʰ u ɾ s̪			
1255-4				l̪ tɕʰ o			
488-4				β d u n̪			
1004-4				ɾ g o			
506-4				d̪ r̪ u l s̪			
1488-4				t̪ r̪ ɜ ŋ			
1496-4				ȵ i m ɑ			
1073-4				b i ɜ p			
1617-4				s̪ u n̪			
1569-4				d̪ʲ u			
1593-4				ɾ ɑ l			
1585-4				ɾ ɑ l			
759-4				ɣ ɑ			
1415-4				d̪ o			
1215-4				ʈʂ ɪ m o k			
422-4				s̪ o ŋ			
310-4				h ɜ f t̪ ɜ			
189-4				ɾ ɑ l			
25-4				k o s̪			
9-4				l̪ t̪ ɜ n̪ u s̪			
57-4				k o s̪			
17-4				s̪ o ŋ			
709-5					g oˑ		
522-5					t̪ʰ o ŋ		
514-5					m ɪ n̪ s̪		
464-5					s̪ õ s̪		
1020-5					s̪ ɜ r̪ ɸ ɜ		
1355-5					s̪ õ s̪		
1464-5					l̪ tɕʰ o		
302-5					b ɜ ŋ		
237-5					l̪ tɕʰ o		
205-5					b ɜ b ɜ q		
1089-5					z̪ ɜ n̪ z̪ ʊ s̪		
804-5					k ɜ ɽ ɜ m		
1263-5					b ɜ b ɜ q		
286-5					ɾ d ɜ p s̪		
717-5					s̪ õ s̪		
269-5					kʰ ɜ p		
1512-5					x ɛ n̪		
555-5					tɕ ɜ t̪ s̪		
751-5					t̪ r̪ ɜ ŋ		
439-5					k o s̪		
601-5					ɕ ɪ s̪		
320-5					tɕ ɑ ŋ m ɛ n̪		
1106-5					p l̥ u		
693-5					h ɜ n̪ d o q		
221-5					s̪ õ s̪		
1199-5					t̪ʰ ɜ b ɜ q		
1424-5					x s̪ u r̪ ʊ p		
904-5					m o		
1273-5					m ɪ n̪ s̪		
1323-5					s̪ ɜ r̪ ɸ ɜ		
1127-5					h ɜ n̪ d o q		
1529-5					p l̥ u		
1175-5					ʊ ɾ g o		
383-5					z̪ ɜ n̪ z̪ ʊ s̪		
820-5					l̪ tɕʰ o		
1636-5					p l̥ u		
1331-5					ʊ ɾ g o		
1097-5					õ s̪		
1223-5					j ɑ ŋ		
592-5					l z̪ ɑ		
1290-5					l̪ t̪ ɜ n̪ ʊ s̪		
669-5					z̪ ɛ ɾ s̪		
1472-5					s̪ õ s̪		
788-5					m o ŋ		
1191-5					ɾ ɜ b ɜ q		
626-5					m ɪ n̪ s̪		
844-5					ɜ ɣ ɑ		
879-5					j ɑ ŋ		
1151-5					b i ɜ p s̪		
1119-5					p ɑ j u		
365-5					s̪ ɜ r̪ ɸ ɜ		
1480-5					d̪ʲ u		
653-5					z̪ ɜ n̪ z̪ ʊ s̪		
1081-5					tθʰ o ŋ		
1448-5					p ɑ j u		
1029-5					j ɑ ɾ		
863-5					ŋ ɑ		
539-5					tθʰ o q		
610-5					ɜ ɣ ɑ		
350-5					ɑ ŋ o		
871-5					kʰ o ŋ		
734-5					ɾ ɑ l		
431-5					kʰ i		
1298-5					β d u n̪		
929-5					ɜ ɕ i p ɑ		
1315-5					t̪ʰ ɜ l d u m		
964-5					m ɪ n̪ s̪		
836-5					x ɛ n̪		
1644-5					β gʲ u k s̪		
547-5					ɜ ɕ ɛ		
1048-5					k ɜ ɽ ɜ m		
1692-5					l̪ tɕʰ o		
1306-5					p l̥ u		
405-5					m o ŋ		
294-5					p l̥ u		
661-5					m o ŋ		
413-5					z̪ ɜ n̪ z̪ ʊ s̪		
996-5					tθʰ ɜ n̪ d o		
1012-5					t̪ r̪ ɜ ŋ		
181-5					l̪ tɕʰ o		
1660-5					β gʲ u k s̪		
1440-5					d̪ r̪ u ŋ		
1652-5					m o		
1037-5					s̪ ɜ r̪ ɸ ɜ		
677-5					h ɜ n̪ d o q		
1561-5					ɕ ɛ d i		
447-5					s̪ õ s̪		
828-5					ɾ d ɜ p s̪		
1247-5					tɕ ɜ t̪ s̪		
391-5					h ɜ n̪ d o q		
972-5					ɕ i p ɑ		
531-5					t̪ʰ ɜ l tɕ ɪ t̪		
253-5					tɕʰ o		
1282-5					β gʲ u k s̪		
812-5					tɕ ɑ ŋ m ɛ n̪		
245-5					d̪ r̪ u l		
1609-5					k ɜ ɽ ɜ m		
261-5					ʑ ɪ n̪ d o		
1143-5					m ɪ n̪ s̪		
1065-5					l̪ tɕʰ o		
1504-5					ɕ ɪ s̪		
1432-5					x s̪ u r̪ ʊ		
634-5					β d u n̪		
1255-5					t̪ r̪ u ŋ		
488-5					β gʲ u k s̪		
1004-5					β d u n̪		
506-5					l̪ t̪ ɜ n̪ ʊ s̪		
1488-5					tɕ ɜ t̪ s̪		
1496-5					ɕ i p ɑ		
1073-5					β gʲ u k s̪		
1617-5					s̪ õ s̪		
1569-5					d̪ʲ u		
1593-5					g oˑ		
1585-5					m ɪ n̪ s̪		
759-5					j ɑ ŋ		
1415-5					d̪ o ŋ		
1215-5					gʲ ʊ k s̪		
422-5					m o ŋ		
310-5					h ɜ n̪ d o q		
189-5					g oˑ		
25-5					z̪ ɛ ɾ s̪		
9-5					l̪ tɕʰ o		
57-5					t̪ʰ o ŋ		
17-5					s̪ õ s̪		
709-6						g oˑ	
522-6						t̪ʰ o ŋ s̪	
514-6						m ɪ n̪ s̪	
464-6						s̪ o ŋ s̪	
1020-6						s̪ ɛ r̪ m õ ŋ	
1355-6						s̪ o ŋ s̪	
1464-6						l̪ tɕʰ ɜ p s̪	
302-6						b i ɜ p ʑ ʊ	
237-6						l̪ tɕʰ o	
205-6						b i ɜ p ʑ ʊ	
1089-6						z̪ ɛ r̪ m õ ŋ	
804-6						k ɜ ɽ ɜ m	
1263-6						pʰ ɜ ɽ ɜ k s̪	
286-6						ɾ d ɜ p s̪	
717-6						s̪ ɛ r̪ m õ ŋ	
269-6						kʰ ɜ p	
1512-6						xʲ ʊ n̪	
555-6						h ɜ f s̪	
751-6						ɾ ɑ ŋ	
439-6						z̪ ɛ ɾ s̪	
601-6						ɕ ɛ d i	
320-6						h ɜ n̪ d o	
1106-6						p l̥ u	
693-6						h ɜ s̪ k e	
221-6						s̪ o ŋ s̪	
1199-6						t̪ʰ ɜ l tɕ ɪ t̪	
1424-6						s̪ o ŋ s̪	
904-6						m e β̞ ɑ	
1273-6						s̪ ɛ r̪ m õ ŋ	
1323-6						s̪ ɜ r̪ f ɜ	
1127-6						h ɜ n̪ d o q	
1529-6						p l̥ u	
1175-6						ɾ d o	
383-6						m ɪ n̪ s̪	
820-6						l̪ tɕʰ o	
1636-6						p l̥ u	
1331-6						ɾ d o	
1097-6						m e β̞ ɑ	
1223-6						ɣ ɑ ŋ	
592-6						xʲ ʊ n̪	
1290-6						l̪ t̪ ɜ n̪ u s̪	
669-6						z̪ ɛ ɾ s̪	
1472-6						s̪ o ŋ s̪	
788-6						m e β̞ ɑ	
1191-6						ɾ d ɜ p s̪	
626-6						ʑ ɪ n̪ d o	
844-6						ɑ ŋ o	
879-6						b ɜ	
1151-6						b i ɜ p s̪	
1119-6						p ɑ j u	
365-6						s̪ ɛ r̪ m õ ŋ	
1480-6						p ɑ j u	
653-6						z̪ ɛ r̪ m õ ŋ	
1081-6						kʰ o ŋ	
1448-6						j ɑ ŋ	
1029-6						ɾ ɑ l	
863-6						ɕ ɛ d o	
539-6						tθʰ o q	
610-6						ɣ ɑ	
350-6						kʰ ɜ p s̪	
871-6						kʰ o ŋ	
734-6						ɾ ɑ l	
431-6						kʰ i	
1298-6						t̪ʰ o ŋ s̪	
929-6						dʑ ɜ ɕ i p ɜ	
1315-6						t̪ʰ ɜ l tɕ ɪ t̪ s̪	
964-6						m ɪ n̪ s̪	
836-6						xʲ ʊ n̪	
1644-6						b d u k s̪	
547-6						ɜ ɕ e	
1048-6						k ɜ ɽ ɜ m	
1692-6						l̪ tɕʰ o	
1306-6						p l̥ u	
405-6						l̪ t̪ ɜ n̪ u s̪	
294-6						p l̥ u	
661-6						l̪ t̪ ɜ n̪ u s̪	
413-6						ɾ ɑ l	
996-6						h ɜ n̪ d o	
1012-6						h ɜ n̪ d o q	
181-6						l̪ tɕʰ o	
1660-6						ɾ d ɜ p s̪	
1440-6						ȵ i m ɑ	
1652-6						m o	
1037-6						s̪ ɜ r̪ f ɜ	
677-6						h ɜ s̪ k e	
1561-6						ɕ ɛ d i	
447-6						s̪ o ŋ s̪	
828-6						ɾ i ŋ ɑ	
1247-6						pʰ ɜ x p o	
391-6						h ɜ n̪ d o q	
972-6						ȵ i m ɑ	
531-6						t̪ʰ ɜ l tɕ ɪ t̪	
253-6						l̪ tɕʰ o	
1282-6						pʰ u ɾ s̪	
812-6						j ɑ ŋ	
245-6						d̪ r̪ u l s̪	
1609-6						s̪ ɜ x p o	
261-6						ɾ d ɜ p s̪	
1143-6						m ɪ n̪ s̪	
1065-6						pʰ u ɾ s̪	
1504-6						ȵ i s̪	
1432-6						s̪ u r̪ ʊ p	
634-6						b i m ɑ	
1255-6						p l̥ u	
488-6						ɾ g o	
1004-6						ɾ g o	
506-6						l̪ t̪ ɜ n̪ u s̪	
1488-6						l̪ t̪ ɜ k s̪	
1496-6						ȵ i m ɑ	
1073-6						ɾ d ɜ p s̪	
1617-6						s̪ u l s̪	
1569-6						b i m ɑ	
1593-6						ɾ ɑ l	
1585-6						ɾ ɑ l	
759-6						ɾ ɑ l	
1415-6						kʰ o	
1215-6						t̪ʰ o ŋ s̪	
422-6						s̪ o ŋ s̪	
310-6						h ɜ s̪ k e	
189-6						h ɜ n̪ d o q	
25-6						s̪ o ŋ s̪	
9-6						l̪ t̪ ɜ k s̪	
57-6						t̪ʰ o ŋ s̪	
17-6						s̪ o ŋ s̪	
709-7							ʊ ɾ g o
522-7							d̪ r̪ u l s̪
514-7							n̪ õ ŋ o
464-7							õ s̪
1020-7							s̪ ɛ r̪ m õ
1355-7							s̪ o ŋ
1464-7							d̪ r̪ u l s̪
302-7							b ɜ n̪ d
237-7							d̪ r̪ u l s̪
205-7							b ɜ n̪ d
1089-7							l dð ɑ
804-7							ŋ ɜ t̪ ɜ ŋ
1263-7							b ɜ n̪ d
286-7							ʊ ɾ g o
717-7							ɕ i s̪
269-7							kʰ o ŋ
1512-7							pʰ u ɾ s̪
555-7							ʈ ɑ ŋ
751-7							ʈ ɑ ŋ
439-7							z̪ ɪ g u
601-7							ɕ i s̪
320-7							ʈ ɑ ŋ
1106-7							pʰ r̪ u
693-7							h ɑ n̪ d o q
221-7							s̪ o ŋ
1199-7							ʈ ɑ ŋ
1424-7							s̪ ɛ r̪ m õ
904-7							s̪ ɛ r̪ m õ
1273-7							b ɜ n̪ d
1323-7							s̪ ɛ r̪ m õ
1127-7							ʈ ɑ ŋ
1529-7							pʰ r̪ u
1175-7							ʊ ɾ g o
383-7							ɕ i s̪
820-7							d̪ r̪ u l s̪
1636-7							d̪ʲ u
1331-7							ʊ ɾ g o
1097-7							l dð ɑ
1223-7							ʈ ɑ ŋ
592-7							õ s̪
1290-7							d̪ r̪ u l s̪
669-7							z̪ ɛ ɾ s̪
1472-7							s̪ o ŋ
788-7							l dð ɑ
1191-7							ɾ d ɜ p s̪
626-7							n̪ õ ŋ o
844-7							j ɑ ŋ
879-7							d̪ʲ u
1151-7							b ɜ n̪ d
1119-7							ȵ i m ɑ
365-7							s̪ ɛ r̪ m õ
1480-7							d̪ʲ u
653-7							s̪ ɛ r̪ m õ
1081-7							kʰ o ŋ
