COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
205-3			h ɜ f t̪ ɜ				
1089-3			β gʲ ɜ t̪				
804-3			tɕ ɜ q				
1263-3			β gʲ ɜ t̪				
286-3			s̪ u				
717-3			s̪ u m				
269-3			t̪ʰ ɜ q				
1512-3			tɕ i				
555-3			tɕ ɜ q				
751-3			ɾ ɜ ŋ				
439-3			kʰ o				
601-3			ɜ ɕ i				
320-3			tɕ ɜ q				
1106-3			b u				
693-3			h ɜ t̪ ɜ				
221-3			s̪ k ɜ t̪				
1199-3			t̪ʰ ɜ q				
1424-3			s̪ ʊ r̪ u				
904-3			l o ŋ				
1273-3			pʰ ɜ x m o				
1323-3			s̪ k ɜ ŋ				
1127-3			tɕ ɜ ŋ				
1529-3			tɕ u				
1175-3			ɾ ɜ m o				
383-3			s̪ u				
820-3			kʰ o				
1636-3			b u				
1331-3			ɣ ɑ				
1097-3			ŋ ɜ t̪ ɜ				
1223-3			tɕ ɜ ŋ				
592-3			m o				
1290-3			t̪ʰ r̪ u m				
669-3			s̪ u				
1472-3			s̪ k ɑ m				
788-3			l o ŋ				
1191-3			ɾ ɜ m ɑ				
626-3			m ɪ n̪ o				
844-3			m ɑ				
879-3			ŋ ɑ				
1151-3			b ɜ s̪				
1119-3			m ɑ				
365-3			tɕ ɜ t̪				
1480-3			s̪ u				
653-3			ɾ ɜ m o				
1081-3			ts̪ o ŋ				
1448-3			ɾ ɜ n̪ s̪				
1029-3			m ɑ				
863-3			l ɑ				
539-3			tθʰ o				
610-3			ɾ ɑ				
350-3			kʰ o				
871-3			m o				
734-3			ɾ ɑ				
431-3			kʰ ɪ				
1298-3			ts̪ o ŋ				
929-3			kʰ ɜ q				
1315-3			t̪ ɜ s̪				
964-3			m ɜ ɕ p o				
836-3			m ɪ s̪				
1644-3			b u				
547-3			tɕ ɜ q				
1048-3			tɕ ɜ ŋ				
1692-3			l o				
1306-3			b u				
405-3			b o ŋ o				
709-4				ŋ o			
522-4				kʰ o ŋ			
514-4				j ɑ ŋ			
464-4				j ɑ ŋ			
1020-4				s̪ u m			
1355-4				s̪ o			
1464-4				tɕ ɜ			
302-4				t̪ r̪ ɜ ŋ			
237-4				l̪ t̪ ɜ n̪			
205-4				l o x s̪			
1089-4				t̪ ɜ n̪ u			
804-4				j ɑ ŋ m ɜ			
1263-4				ȵ i s̪			
286-4				ɾ g u			
717-4				s̪ ȵ i ŋ m o			
269-4				kʰ ɜ p			
1512-4				tɕ i ŋ			
555-4				l̪ t̪ ɜ n̪ u			
751-4				j ɑ ŋ			
439-4				k o			
601-4				ɕ i ŋ			
320-4				h ɜ x m ɜ			
1106-4				d̪ʲ u			
693-4				kʰ o ŋ			
221-4				s̪ t̪ r̪ ɜ t̪			
1199-4				t̪ʰ ɜ ŋ			
1424-4				s̪ u m			
904-4				m o			
1273-4				s̪ k ɑ m			
1323-4				s̪ k ɜ m			
1127-4				gʲ ɜ t̪			
1529-4				tɕ u			
1175-4				ɾ ɑ ŋ m o			
383-4				s̪ u m			
820-4				tθʰ o			
1636-4				d̪ʲ u ŋ			
1331-4				s̪ u m			
1097-4				t̪ r̪ ɜ ŋ			
1223-4				t̪ʰ ɜ ŋ			
592-4				m o			
1290-4				t̪ r̪ u k			
669-4				z̪ ɛ ɾ s̪			
1472-4				s̪ ȵ i m ɜ			
788-4				l o ŋ			
1191-4				ŋ ɑ j ɑ			
626-4				m ɛ n̪ m o			
844-4				m ɑ			
879-4				j ɑ ŋ			
1151-4				t̪ r̪ u k			
1119-4				j ɑ ŋ			
365-4				s̪ k i m ɜ			
1480-4				j ɑ ŋ			
653-4				kʰ o ŋ ɜ			
1081-4				ts̪ o ŋ			
1448-4				m ɑ ŋ			
1029-4				m ɑ			
863-4				ŋ ɑ			
539-4				kʰ o ŋ			
610-4				j ɑ			
350-4				ts̪ ɜ m			
871-4				l o ŋ			
734-4				ɾ ɑ			
431-4				kʰ i			
1298-4				tɕ u ɾ s̪			
929-4				g i ŋ			
1315-4				t̪ r̪ u k			
964-4				m ɑ ŋ			
836-4				ȵ i s̪			
1644-4				t̪ʰ u r̪ i ŋ			
547-4				gʲ ɜ t̪			
1048-4				s̪ u m			
1692-4				l o			
1306-4				d̪ʲ u			
405-4				b o ŋ o			
709-5					g o		
522-5					m o ŋ		
514-5					m ɪ n̪		
464-5					x s̪ u		
1020-5					s̪ õ s̪		
1355-5					s̪ õ s̪		
1464-5					tɕ ɜ		
302-5					b ɜ ŋ		
237-5					l̪ t̪ ɜ ŋ		
205-5					t̪ r̪ ɜ ŋ		
1089-5					pʰ ɜ x m o		
804-5					b ɜ ŋ m ɜ		
1263-5					ŋ ɑ j ɑ		
286-5					pʰ u ɾ s̪		
717-5					s̪ õ s̪		
269-5					t̪ʰ ɜ q		
1512-5					tɕ i ŋ		
555-5					tɕ ɜ t̪ s̪		
751-5					ȵ i ŋ		
439-5					g o ŋ		
601-5					ɕ i ŋ		
320-5					tɕ ɜ x m o		
1106-5					d̪ʲ u		
693-5					t̪ʰ ɜ q p o		
221-5					s̪ t̪ ɜ r̪ ɸ ɜ		
1199-5					t̪ʰ ɑ ŋ		
1424-5					x s̪ u r̪ ɸ ɜ		
904-5					l o ŋ		
1273-5					s̪ k ɜ m		
1323-5					s̪ k ɜ m		
1127-5					tɕ ɜ r̪ ɸ ɜ		
1529-5					tɕ u		
1175-5					g ɑ ŋ m o		
383-5					s̪ õ s̪		
820-5					t̪ʰ o ŋ		
1636-5					p l̥ u ŋ		
1331-5					d̪ o ŋ		
1097-5					b ɑ ŋ m ɜ		
1223-5					t̪ ɜ ŋ		
592-5					m o		
1290-5					t̪ r̪ ɜ ŋ		
669-5					s̪ k o		
1472-5					s̪ t̪ r̪ i ŋ		
788-5					l o ŋ		
1191-5					ɾ ɜ x m ɜ		
626-5					m ɪ n̪		
844-5					j ɑ ŋ		
879-5					ɜ ɣ ɑ		
1151-5					p ɜ ɕ ɪ s̪		
1119-5					g ɑ ɾ		
365-5					ɕ ɛ r̪ ɸ ɜ		
1480-5					d̪ʲ u		
653-5					g o ŋ ɜ		
1081-5					ts̪ o ŋ		
1448-5					b ɑ ŋ m ɜ		
1029-5					m ɑ ŋ		
863-5					ɕ ɛ		
539-5					kʰ o ŋ		
610-5					j ɑ ŋ		
350-5					kʰ o ŋ		
871-5					j ɑ ŋ		
734-5					g ɑ ŋ		
431-5					d̪ i		
1298-5					m o ŋ		
929-5					tɕ ɪ r̪ i ŋ		
1315-5					t̪ r̪ ɜ ŋ		
964-5					g ɑ r̪ ɸ ɜ		
836-5					m i		
1644-5					pʰ u r̪ i ŋ		
547-5					tɕ ɜ t̪		
1048-5					k ɜ t̪ ɜ		
1692-5					b o ŋ o		
1306-5					p l̥ u		
405-5					b o ŋ o		
709-6						g o	
522-6						d̪ o ŋ	
514-6						m ɪ n̪	
464-6						s̪ ɑ m	
1020-6						s̪ k ɜ m	
1355-6						s̪ o	
1464-6						tɕ i	
302-6						t̪ r̪ ɜ ŋ	
237-6						l̪ t̪ o	
205-6						p t̪ ɜ q p ɜ	
1089-6						j ɑ ŋ	
804-6						k ɑ ŋ m ɜ	
1263-6						l̪ t̪ ɜ n̪ u s̪	
286-6						s̪ u ɾ s̪	
717-6						s̪ u ŋ	
269-6						b ɜ q	
1512-6						tɕ i k	
555-6						b gʲ ɜ	
751-6						t̪ ɜ ŋ	
439-6						l̪ t̪ o	
601-6						ɕ i	
320-6						ɾ ɜ x m ɜ	
1106-6						p l̥ u	
693-6						h ɜ x m o	
221-6						s̪ t̪ r̪ ɜ	
1199-6						tɕ ɜ t̪ r̪ ɸ ɜ	
1424-6						s̪ u m	
904-6						l o	
1273-6						s̪ k ɜ m	
1323-6						s̪ t̪ r̪ ɜ ŋ	
1127-6						t̪ r̪ ɜ t̪	
1529-6						p l̥ u	
1175-6						s̪ k ɜ x m o	
383-6						s̪ u m	
820-6						l̪ t̪ o	
1636-6						p l̥ u	
1331-6						z̪ ʊ s̪	
1097-6						ŋ ɜ m	
1223-6						b gʲ ɜ	
592-6						m o	
1290-6						t̪ʰ r̪ u ɾ s̪	
669-6						s̪ u	
1472-6						s̪ t̪ r̪ i ŋ	
788-6						l o	
1191-6						j ɑ ŋ m ɜ	
626-6						m o q	
844-6						m ɑ	
879-6						ŋ ɜ	
1151-6						p l̥ u s̪	
1119-6						ŋ ɜ	
365-6						z̪ ɛ r̪ ɸ ɜ	
1480-6						s̪ u ŋ	
653-6						tɕ o ŋ ɜ	
1081-6						ts̪ o ŋ	
1448-6						j ɑ ŋ m ɜ	
1029-6						m ɑ ɾ	
863-6						m ɑ	
539-6						tɕ i	
610-6						ɣ ɑ	
350-6						ɾ ɜ q	
871-6						m o ŋ	
734-6						ɾ g ɑ	
431-6						kʰ i	
1298-6						ɾ g u	
929-6						tɕ ɜ t̪ r̪ i ŋ	
1315-6						t̪ ɜ n̪ u s̪	
964-6						m ɪ n̪	
836-6						m i	
1644-6						t̪ʰ r̪ i ŋ	
547-6						ʑ ɜ q	
1048-6						k ɜ	
1692-6						l o	
1306-6						p l̥ u	
405-6						b o ŋ o	
709-7							g o
522-7							kʰ o ŋ
514-7							ʈ ɑ ŋ
464-7							s̪ o ŋ
1020-7							ɾ g u
1355-7							s̪ o ŋ
1464-7							tɕ i
302-7							ʈ ɑ ŋ
237-7							ʈ ɑ ŋ
205-7							ɾ gʲ ɜ
1089-7							ts̪ ɑ q p o
804-7							ɾ gʲ ɜ
1263-7							ɾ gʲ ɜ
286-7							ɾ g u
717-7							s̪ u m
269-7							ɾ gʲ ɜ
1512-7							tɕ i k
555-7							ɾ gʲ ɜ
751-7							ɾ gʲ ɜ
439-7							g o ŋ
601-7							ɕ i ŋ
320-7							ɾ gʲ ɜ q
1106-7							pʰ r̪ u
693-7							ts̪ ɑ q p o
221-7							tɕ i k
1199-7							ɾ gʲ ɜ q
1424-7							s̪ u m
904-7							kʰ o ŋ
1273-7							ɾ gʲ ɜ
1323-7							s̪ k ɜ m
1127-7							ɾ gʲ ɜ q
1529-7							pʰ r̪ u
1175-7							ɾ gʲ ɜ q
383-7							ɾ gʲ ɜ
820-7							kʰ o ŋ
1636-7							pʰ r̪ u
1331-7							s̪ u m
1097-7							ʈ ɑ ŋ
1223-7							ɾ gʲ ɜ
592-7							ɾ gʲ ɜ
1290-7							ʈ u k
669-7							ɾ ɜ s̪
1472-7							s̪ o m ɑ
788-7							n̪ ɑ m
1191-7							ɾ gʲ ɜ
626-7							ɾ gʲ ɜ
844-7							j ɑ m
879-7							ŋ ɑ
1151-7							ɾ gʲ ɜ s̪
1119-7							pʰ r̪ u
365-7							ɾ gʲ ɜ
1480-7							s̪ u
653-7							kʰ o ŋ
1081-7							ts̪ ɑ m
1448-7							ɾ gʲ ɜ
1029-7							g ɑ ɾ
863-7							ŋ ɑ
539-7							ȵ i ŋ
610-7							g o
350-7							ɾ gʲ ɜ
871-7							kʰ o ŋ
734-7							ɾ g o
431-7							ɕ i s̪
1298-7							ɾ gʲ ɜ
929-7							ɾ gʲ ɜ
1315-7							kʰ o q s̪
964-7							ʈ ɑ ŋ
836-7							ȵ i m ɑ
1644-7							d̪ʲ u
547-7							ɾ gʲ ɜ
1048-7							ɾ gʲ ɜ
1692-7							kʰ o ŋ
1306-7							pʰ r̪ u
405-7							b o ŋ o
